sweep,param,value,best_fit,test_f1,seconds
mutation,p_mutation,0.01,0.09145745762126525,0.06879175525513752,20.5
mutation,p_mutation,0.03,0.09425795863825323,0.06984498588154582,20.6
mutation,p_mutation,0.05,0.09955543597516078,0.06458938105105944,20.8
mutation,p_mutation,0.1,0.10273098813643547,0.06831824721508148,20.6
mutation,p_mutation,0.2,0.0926814257094259,0.06495637695164133,20.6
mutation,p_mutation,0.3,0.09243931820897858,0.0710191439761522,20.5
crossover_prob,p_crossover,0.3,0.08597717430815414,0.06089472671351223,20.6
crossover_prob,p_crossover,0.6,0.09500895620814813,0.06928029445088885,20.5
crossover_prob,p_crossover,0.9,0.09955543597516078,0.06458938105105944,20.5
crossover_prob,p_crossover,1.0,0.10949201151591065,0.07650470277822721,20.6
crossover_kind,crossover,uniform,0.09955543597516078,0.06458938105105944,20.5
crossover_kind,crossover,one_point,0.08644888791068811,0.06030886521376464,20.5
crossover_kind,crossover,arithmetic,0.08595501882239698,0.06349353734385622,20.6
