feature,importance
hypertension,167.02204539054662
ascorbic,165.66556883758423
human,162.23047602018795
dermatitis,155.4116695143436
prostate,154.2728139998701
gabapentin,154.19602739839678
psoriatic,153.64579678944608
losartan,151.42061340025603
abatacept,146.97012109153792
fumarate,144.06467724486953
adalimumab,141.98593422352027
age_norm,141.5089279656516
dupilumab,140.3734249755817
80,139.97828357671304
female,139.95246724320535
colitis,139.7048216330096
cyanocobalamin,139.34150535551555
fluticasone,138.20980748886166
relugolix,137.4236972797364
leukaemia,136.8472641620247
oxycodone,136.65450026226983
63,135.21383846958543
potassium,134.08135472378228
carcinoma,133.7303897293325
lung,133.70125340905003
indication,132.8129635496177
prednisone,132.52392372850852
parkinson,132.29165129077953
70,131.87510422166167
rzaa,131.56443237395376
multiple,130.26443101751775
used,129.05694840158367
infection,128.90925541019902
risankizumab,128.75856213151314
formoterol,128.31798510568905
acetate,126.76888224172956
79,126.4249028977043
eczema,126.04808706324418
crohn,125.3578401852125
male,125.35536467204103
arthropathy,124.7776118439588
immunodeficiency,124.44767002264916
weight,124.25627780057134
56,124.13878552012153
atopic,122.98723201671501
kg,122.35164860571523
drug,122.23184083950068
syndrome,121.50552988607467
citrate,121.2538811100537
upadacitinib,121.14339466881245
disorder,120.78758430095853
metastatic,120.2469107683726
dapagliflozin,120.22071619730865
atorvastatin,119.96066452637633
mellitus,118.95444628746142
budesonide,118.38908559498759
61,118.2095378773545
metformin,117.52636307922336
aspirin,117.49063259199052
pulmonary,117.13339450850938
64,116.70067718988591
magnesium,116.17726528757711
pain,115.75816093090246
diabetes,115.63523453844101
asthma,115.1868316918754
hydrochloride,114.40994485897801
tirzepatide,114.23255431842979
dexamethasone,113.94320699591975
furosemide,113.05490868784383
abaloparatide,113.03374234957407
bupropion,112.82768449072871
rosuvastatin,112.7192577628737
cancer,112.1880218926965
sclerosis,111.93464498320392
73,111.76062078214107
52,111.36673533485475
67,111.34072478677912
product,111.0649792958765
arthritis,110.99791098966341
apixaban,109.67154203779779
57,109.28400687740242
medications,108.99479703618562
60,108.32366320093399
68,108.11960777479892
sex_M,106.81243244143674
methotrexate,106.6516351204288
amlodipine,106.48240413545852
albuterol,105.91569138364338
levothyroxine,105.7698958645733
sex,105.20614795534516
chronic,104.40278776535433
76,104.3776103327697
69,104.33159739202917
acid,103.72276363212521
chloride,103.6451292568998
vedolizumab,103.5637024266183
prophylaxis,103.19998158283096
65,103.09936215715493
depression,102.65130441650174
cetirizine,102.61791176524851
sex_F,102.18246962458575
cell,101.72819107674542
neoplasm,101.64963527235388
55,101.33131363637051
besylate,100.92289231143548
osteoporosis,100.68332107262616
patient,100.64022825694579
78,100.62499945157893
lenalidomide,100.61525725095257
disease,99.54335211871754
immunoglobulin,99.4976832934851
infliximab,99.48880705423159
72,99.38834228780006
62,99.34884821048541
cholecalciferol,99.13812939277658
77,99.09888097209614
59,99.07105878758557
unknown,98.6017838514069
type,98.24374757660351
blood,98.23679652597545
71,98.19562823931088
58,97.77437711824429
phosphate,97.69922681415323
75,97.32917191911415
therapy,97.03860491226897
weight_norm,96.74043088281626
propionate,96.09273822637078
years,95.59954288117213
rituximab,95.56055404650519
diphenhydramine,94.26449536956181
54,94.10380226278852
sodium,93.92043422373986
calcium,92.50087773948508
control,92.09244060546374
psoriasis,91.85652442409187
myeloma,91.73540398749716
bromide,90.79798714737362
insulin,90.76705433678706
66,90.69329896509586
arterial,90.26664107082226
other,90.12989516497817
rheumatoid,89.77594541013629
tartrate,89.20001955613463
pantoprazole,89.17520064290102
ulcerative,87.78958845928003
sulfate,87.6459578671339
age,85.16010203973484
semaglutide,84.55208808391384
acetaminophen,80.83092818316038
breast,79.25426727664798
74,77.91056077659005
for,75.47513562400525
53,75.37246213457928
plasma,72.10585296545227
