precision_macro,recall_macro
0.03315777475647083,0.8527784441177222
0.03316079940275183,0.8495877786498505
0.033361744677062856,0.8455570260122134
0.03358661060461306,0.831359670927164
0.03365054270441926,0.8222652914740332
0.03712120743942155,0.8165136235774927
0.03814077558299089,0.79941262778856
0.04289546902148293,0.789020098484589
0.04355621680667024,0.7810966601935486
0.043565008510343846,0.7803931374995942
0.043625626894129556,0.7657242952962943
0.04385382114804361,0.763300014123564
0.04414647793246261,0.7520593864993906
0.044275269057745176,0.751788710467493
0.04499899895522713,0.7517296206808212
0.046331648838175615,0.7440021930823679
0.046715623541146375,0.6663635067527038
0.04817067687903792,0.6634217785072819
0.04846786889978744,0.6581900761320738
0.048630896371768505,0.6569053692974383
0.053671987086837694,0.6535868730459521
